student_id,course_id,chapter_id,chapter_order,time_spent_minutes,score,completed
19,5,5,5,5.1,14.2,0
20,1,1,1,12.2,33.9,0
21,1,1,1,12.1,22.1,0
22,3,1,1,29.2,56.7,1
22,3,2,2,29.8,48.6,0
23,5,1,1,18.6,43.3,1
23,5,2,2,22.4,33.9,1
23,5,3,3,13.3,30.9,1
23,5,4,4,19.2,26.9,1
23,5,5,5,16.9,28.5,0
24,5,1,1,11.4,29.0,1
24,5,2,2,11.9,32.7,0
25,4,1,1,34.3,53.9,1
25,4,2,2,21.5,67.5,1
25,4,3,3,24.8,54.5,0
26,3,1,1,19.8,25.6,0
27,5,1,1,20.5,43.5,1
27,5,2,2,16.7,39.4,0
28,2,1,1,30.6,36.7,0
29,4,1,1,24.6,46.1,1
29,4,2,2,39.5,40.9,0
30,2,1,1,16.2,17.2,1
30,2,2,2,9.3,28.6,1
30,2,3,3,13.4,29.1,1
30,2,4,4,6.8,17.1,0
31,5,1,1,11.7,23.3,0
32,4,1,1,13.4,33.5,1
32,4,2,2,12.6,25.4,1
32,4,3,3,11.7,24.7,0
33,3,1,1,26.3,50.0,1
33,3,2,2,22.8,33.2,0
34,3,1,1,37.5,76.6,1
34,3,2,2,32.1,55.2,1
34,3,3,3,29.1,55.5,1
34,3,4,4,17.9,34.1,0
35,5,1,1,11.8,24.5,0
36,2,1,1,19.7,41.1,1
36,2,2,2,19.2,58.2,1
36,2,3,3,22.8,36.4,1
36,2,4,4,9.2,47.1,1
36,2,5,5,25.4,35.3,0
37,1,1,1,35.2,51.8,1
37,1,2,2,39.0,44.6,1
37,1,3,3,33.6,44.5,1
37,1,4,4,21.1,46.6,0
38,1,1,1,36.0,55.8,1
38,1,2,2,19.8,14.5,0
39,5,1,1,24.1,24.1,1
39,5,2,2,19.5,33.4,0
40,2,1,1,38.9,85.6,1
40,2,2,2,33.5,58.3,1
40,2,3,3,18.9,47.3,1
40,2,4,4,15.8,46.6,1
40,2,5,5,24.6,38.5,0
41,4,1,1,10.1,48.3,1
41,4,2,2,18.7,25.8,0
42,4,1,1,31.1,52.3,1
42,4,2,2,28.2,50.8,1
42,4,3,3,18.1,17.4,0
43,1,1,1,17.0,35.5,1
43,1,2,2,15.6,22.2,1
43,1,3,3,21.5,26.1,1
43,1,4,4,18.7,17.8,0
44,1,1,1,26.9,57.3,1
44,1,2,2,35.0,42.6,1
44,1,3,3,22.9,40.1,1
44,1,4,4,23.1,28.3,0
45,1,1,1,21.7,40.0,1
45,1,2,2,11.5,42.0,1
45,1,3,3,15.2,25.5,1
45,1,4,4,7.9,31.1,1
45,1,5,5,12.9,22.4,0
46,3,1,1,15.7,35.6,1
46,3,2,2,13.7,26.9,1
46,3,3,3,9.9,26.7,0
47,1,1,1,14.7,27.8,0
48,1,1,1,30.4,48.4,1
48,1,2,2,24.1,57.7,1
48,1,3,3,27.5,56.1,1
48,1,4,4,29.9,35.5,1
48,1,5,5,20.3,34.2,0
49,2,1,1,25.7,35.8,0
50,1,1,1,43.8,38.3,1
50,1,2,2,28.2,57.9,1
50,1,3,3,27.9,44.2,1
50,1,4,4,29.0,27.4,0
51,3,1,1,39.3,33.1,0
52,4,1,1,18.6,25.7,1
52,4,2,2,10.7,27.6,0
53,3,1,1,21.8,40.5,0
54,1,1,1,29.6,40.6,1
54,1,2,2,15.6,29.5,0
55,1,1,1,19.9,50.6,1
55,1,2,2,27.2,38.0,1
55,1,3,3,28.1,41.6,1
55,1,4,4,21.8,48.9,1
55,1,5,5,20.1,26.5,1
55,1,6,6,14.2,32.6,0
56,1,1,1,31.9,37.9,1
56,1,2,2,27.7,38.7,0
57,5,1,1,33.2,52.3,1
57,5,2,2,24.3,34.0,1
57,5,3,3,19.1,50.3,0
58,1,1,1,20.8,40.6,1
58,1,2,2,8.6,31.1,1
58,1,3,3,15.3,14.4,1
58,1,4,4,14.9,29.9,1
58,1,5,5,18.1,21.5,1
58,1,6,6,11.5,25.9,0
59,5,1,1,26.4,42.3,1
59,5,2,2,16.6,49.4,1
59,5,3,3,15.6,51.6,1
59,5,4,4,22.0,29.0,0
60,1,1,1,31.1,20.9,1
60,1,2,2,21.5,25.5,0
61,5,1,1,10.9,15.1,1
61,5,2,2,9.5,18.2,1
61,5,3,3,7.8,21.0,1
61,5,4,4,9.4,13.5,1
61,5,5,5,8.0,14.2,1
61,5,6,6,5.4,11.6,0
62,2,1,1,41.3,38.1,1
62,2,2,2,45.0,49.9,1
62,2,3,3,33.0,72.4,1
62,2,4,4,13.3,53.0,1
62,2,5,5,17.8,38.6,0
63,3,1,1,28.8,31.3,1
63,3,2,2,28.6,34.9,1
63,3,3,3,22.4,36.5,0
64,4,1,1,28.7,48.1,1
64,4,2,2,30.8,36.9,0
65,4,1,1,36.0,66.7,1
65,4,2,2,15.9,49.8,1
65,4,3,3,13.4,55.9,1
65,4,4,4,22.5,58.9,1
65,4,5,5,19.3,38.0,1
65,4,6,6,17.0,30.9,0
66,4,1,1,17.4,32.2,0
67,1,1,1,14.4,28.8,1
67,1,2,2,24.0,26.5,0
68,1,1,1,8.3,12.6,1
68,1,2,2,9.5,20.1,0
69,2,1,1,30.7,61.6,1
69,2,2,2,35.1,37.0,0
70,5,1,1,43.8,36.5,1
70,5,2,2,29.2,41.8,0
71,5,1,1,11.6,20.9,0
72,3,1,1,15.9,29.6,0
73,5,1,1,22.3,45.3,1
73,5,2,2,19.9,45.8,1
73,5,3,3,14.5,7.0,1
73,5,4,4,13.9,22.3,0
74,3,1,1,24.9,25.8,0
75,4,1,1,30.5,69.5,1
75,4,2,2,23.9,44.9,1
75,4,3,3,15.3,56.7,1
75,4,4,4,24.5,50.1,1
75,4,5,5,27.2,39.5,1
75,4,6,6,10.2,25.1,0
76,2,1,1,14.3,16.9,0
77,2,1,1,21.5,74.8,1
77,2,2,2,28.7,53.5,1
77,2,3,3,36.5,42.1,1
77,2,4,4,22.7,48.2,1
77,2,5,5,19.9,40.4,1
77,2,6,6,18.7,35.2,0
78,2,1,1,12.5,12.8,1
78,2,2,2,8.9,16.8,1
78,2,3,3,9.5,17.8,0
79,5,1,1,6.8,22.5,1
79,5,2,2,13.1,20.1,0
80,2,1,1,11.3,20.6,1
80,2,2,2,15.6,16.6,0
81,2,1,1,18.6,43.8,1
81,2,2,2,28.6,57.2,1
81,2,3,3,23.9,34.5,0
82,4,1,1,33.7,32.2,1
82,4,2,2,30.1,48.7,1
82,4,3,3,27.8,28.4,0
83,3,1,1,33.9,39.1,0
84,1,1,1,28.3,29.8,1
84,1,2,2,14.6,31.3,0
85,4,1,1,33.3,33.5,0
86,4,1,1,33.4,78.7,1
86,4,2,2,38.1,57.9,1
86,4,3,3,26.2,45.5,1
86,4,4,4,30.9,49.3,0
87,2,1,1,13.3,22.0,0
88,5,1,1,18.9,37.4,1
88,5,2,2,20.0,35.6,0
89,5,1,1,23.3,40.8,1
89,5,2,2,13.7,40.8,1
89,5,3,3,20.0,29.8,0
90,4,1,1,26.8,58.3,1
90,4,2,2,24.2,55.9,1
90,4,3,3,19.9,44.6,1
90,4,4,4,16.6,24.4,1
90,4,5,5,16.3,25.2,0
91,4,1,1,32.2,83.2,1
91,4,2,2,25.8,67.5,1
91,4,3,3,19.7,41.7,1
91,4,4,4,13.6,34.2,1
91,4,5,5,28.8,38.5,1
91,4,6,6,31.2,29.7,0
92,4,1,1,16.3,20.6,0
93,3,1,1,20.3,37.5,0
94,1,1,1,39.7,69.0,1
94,1,2,2,33.1,38.4,1
94,1,3,3,16.7,52.9,1
94,1,4,4,27.0,45.2,1
94,1,5,5,35.3,34.0,1
94,1,6,6,18.8,42.1,1
94,1,7,7,15.4,17.6,0
95,2,1,1,37.6,71.4,1
95,2,2,2,28.8,43.7,1
95,2,3,3,33.1,37.8,0
96,5,1,1,14.5,30.5,1
96,5,2,2,5.0,21.6,1
96,5,3,3,12.0,29.2,1
96,5,4,4,7.1,23.3,1
96,5,5,5,12.2,22.9,1
96,5,6,6,10.0,18.3,1
96,5,7,7,9.6,16.6,0
97,4,1,1,13.7,21.7,1
97,4,2,2,15.0,22.0,1
97,4,3,3,11.6,21.6,0
98,3,1,1,23.9,73.4,1
98,3,2,2,45.2,60.2,1
98,3,3,3,31.5,69.3,1
98,3,4,4,34.3,31.8,1
98,3,5,5,20.5,42.0,1
98,3,6,6,17.9,35.8,0
99,1,1,1,18.8,18.4,1
99,1,2,2,9.6,19.1,1
99,1,3,3,13.1,16.1,0
100,2,1,1,17.6,26.1,0
101,1,1,1,17.7,32.2,0
102,2,1,1,27.1,49.9,1
102,2,2,2,31.1,51.6,1
102,2,3,3,13.6,38.8,0
103,2,1,1,16.8,27.4,0
104,4,1,1,25.1,44.5,1
104,4,2,2,23.5,41.6,1
104,4,3,3,19.9,38.2,1
104,4,4,4,12.5,29.1,0
105,4,1,1,10.9,32.4,0
106,5,1,1,15.1,38.0,1
106,5,2,2,14.4,13.7,1
106,5,3,3,18.4,19.6,1
106,5,4,4,9.9,22.6,0
107,1,1,1,25.6,41.2,1
107,1,2,2,30.2,35.0,1
107,1,3,3,21.3,30.6,1
107,1,4,4,12.2,24.9,1
107,1,5,5,18.9,22.6,1
107,1,6,6,14.3,23.0,1
107,1,7,7,16.6,26.5,0
108,1,1,1,32.1,58.6,1
108,1,2,2,33.5,41.1,0
109,4,1,1,33.7,48.5,1
109,4,2,2,32.6,36.1,1
109,4,3,3,19.1,52.8,1
109,4,4,4,16.7,18.1,1
109,4,5,5,15.3,34.3,0
110,4,1,1,19.4,51.3,1
110,4,2,2,23.2,41.2,1
110,4,3,3,18.1,37.8,0
111,1,1,1,41.8,53.6,1
111,1,2,2,36.1,60.3,1
111,1,3,3,33.0,76.1,1
111,1,4,4,23.2,38.1,1
111,1,5,5,27.6,39.7,1
111,1,6,6,12.1,20.8,0
112,5,1,1,32.8,44.5,1
112,5,2,2,23.4,40.6,1
112,5,3,3,26.4,40.0,1
112,5,4,4,24.6,34.9,0
113,1,1,1,29.9,41.5,1
113,1,2,2,32.1,41.7,0
114,1,1,1,18.9,50.8,1
114,1,2,2,28.6,35.6,0
115,1,1,1,25.6,27.1,1
115,1,2,2,18.3,32.5,0
116,5,1,1,27.7,36.6,1
116,5,2,2,23.3,31.0,1
116,5,3,3,14.4,29.1,1
116,5,4,4,13.5,23.2,0
117,1,1,1,16.7,24.3,0
118,1,1,1,20.3,61.3,1
118,1,2,2,14.5,45.8,1
118,1,3,3,23.6,20.6,0
119,5,1,1,14.9,26.4,0
120,5,1,1,11.3,33.1,1
120,5,2,2,13.9,17.1,1
120,5,3,3,11.4,20.7,0
121,1,1,1,35.3,62.7,1
121,1,2,2,33.9,53.0,1
121,1,3,3,32.0,64.3,1
121,1,4,4,25.5,31.3,0
122,1,1,1,23.2,40.9,1
122,1,2,2,22.2,36.7,0
123,4,1,1,32.3,56.6,1
123,4,2,2,33.8,42.3,1
123,4,3,3,22.0,40.4,1
123,4,4,4,13.9,23.2,1
123,4,5,5,13.5,16.9,0
124,1,1,1,22.6,37.3,0
125,2,1,1,54.4,53.7,1
125,2,2,2,28.3,36.2,0
126,4,1,1,31.1,52.3,1
126,4,2,2,28.8,44.9,1
126,4,3,3,20.7,42.6,0
127,5,1,1,40.6,49.8,1
127,5,2,2,39.4,51.7,0
128,2,1,1,15.6,37.7,1
128,2,2,2,16.7,37.6,0
129,1,1,1,34.5,44.0,1
129,1,2,2,24.0,36.9,1
129,1,3,3,27.2,39.6,1
129,1,4,4,15.3,27.9,1
129,1,5,5,20.9,26.6,1
129,1,6,6,9.6,20.8,1
129,1,7,7,14.0,17.9,0
130,2,1,1,27.3,60.8,1
130,2,2,2,25.7,44.2,1
130,2,3,3,42.0,27.1,0
131,5,1,1,34.1,70.9,1
131,5,2,2,34.1,27.9,0
132,2,1,1,25.6,37.8,0
133,5,1,1,33.6,69.4,1
133,5,2,2,19.4,39.7,0
134,4,1,1,25.1,47.2,1
134,4,2,2,13.5,41.8,1
134,4,3,3,13.3,37.0,0
135,2,1,1,42.9,90.6,1
135,2,2,2,27.3,57.4,1
135,2,3,3,22.5,59.3,1
135,2,4,4,25.8,37.5,1
135,2,5,5,30.9,30.1,1
135,2,6,6,14.5,32.5,1
135,2,7,7,16.9,33.9,1
135,2,8,8,21.0,25.2,0
136,1,1,1,18.4,46.8,1
136,1,2,2,22.4,38.6,0
137,1,1,1,13.5,26.7,0
138,4,1,1,20.2,28.2,1
138,4,2,2,8.3,36.5,1
138,4,3,3,18.2,13.2,1
138,4,4,4,14.5,33.1,1
138,4,5,5,10.5,18.3,1
138,4,6,6,8.8,15.3,1
138,4,7,7,9.7,14.8,0
139,5,1,1,32.9,68.1,1
139,5,2,2,25.2,58.7,1
139,5,3,3,19.9,44.3,1
139,5,4,4,27.1,42.6,1
139,5,5,5,21.4,21.3,0
140,4,1,1,19.2,73.0,1
140,4,2,2,19.9,55.4,1
140,4,3,3,37.9,46.0,1
140,4,4,4,20.3,26.2,0
141,5,1,1,12.0,23.1,1
141,5,2,2,12.9,18.9,1
141,5,3,3,12.8,25.4,0
142,4,1,1,31.1,56.3,1
142,4,2,2,36.1,34.2,0
143,3,1,1,24.6,44.0,1
143,3,2,2,19.5,33.1,0
144,5,1,1,31.3,40.6,1
144,5,2,2,27.6,54.6,1
144,5,3,3,12.7,63.0,1
144,5,4,4,22.0,31.1,0
145,4,1,1,22.0,33.6,1
145,4,2,2,14.5,33.5,1
145,4,3,3,15.8,25.6,1
145,4,4,4,11.9,20.2,1
145,4,5,5,13.2,16.3,1
145,4,6,6,5.0,16.1,0
146,1,1,1,27.0,39.3,0
147,4,1,1,22.8,43.1,1
147,4,2,2,19.9,39.9,0
148,1,1,1,28.4,79.5,1
148,1,2,2,42.0,48.6,1
148,1,3,3,25.8,46.1,0
149,2,1,1,14.4,16.9,1
149,2,2,2,7.2,16.4,0
150,4,1,1,34.4,79.1,0
151,2,1,1,18.9,26.0,0
152,5,1,1,30.8,51.2,1
152,5,2,2,21.4,33.9,1
152,5,3,3,18.1,27.0,0
153,4,1,1,18.3,30.7,1
153,4,2,2,18.8,48.0,0
154,5,1,1,19.7,33.9,1
154,5,2,2,16.0,30.9,1
154,5,3,3,19.6,25.5,1
154,5,4,4,15.5,29.2,0
155,3,1,1,25.7,33.4,0
156,5,1,1,25.7,58.4,1
156,5,2,2,30.3,54.5,1
156,5,3,3,25.7,66.1,1
156,5,4,4,31.3,42.8,1
156,5,5,5,24.9,37.8,0
157,2,1,1,29.1,51.6,1
157,2,2,2,18.1,34.9,1
157,2,3,3,14.0,44.6,1
157,2,4,4,20.4,40.4,1
157,2,5,5,18.9,14.8,0
158,2,1,1,19.5,40.8,1
158,2,2,2,32.8,44.7,1
158,2,3,3,19.9,24.1,1
158,2,4,4,23.5,46.6,1
158,2,5,5,27.6,28.5,0
159,4,1,1,10.0,17.6,1
159,4,2,2,20.6,25.3,0
160,2,1,1,38.5,56.0,1
160,2,2,2,19.5,47.6,1
160,2,3,3,16.5,36.4,0
161,5,1,1,30.8,67.5,1
161,5,2,2,29.9,42.0,1
161,5,3,3,21.1,41.6,1
161,5,4,4,26.2,45.6,1
161,5,5,5,21.4,25.8,0
162,3,1,1,30.8,35.3,1
162,3,2,2,29.3,37.2,1
162,3,3,3,33.2,47.4,1
162,3,4,4,18.7,40.5,1
162,3,5,5,11.8,12.7,0
163,5,1,1,25.6,52.5,1
163,5,2,2,27.1,47.8,0
164,1,1,1,11.3,28.1,1
164,1,2,2,14.9,24.6,0
165,4,1,1,14.8,18.1,1
165,4,2,2,8.1,11.3,1
165,4,3,3,8.2,15.6,1
165,4,4,4,9.1,13.8,0
166,5,1,1,13.8,33.7,1
166,5,2,2,22.8,43.6,1
166,5,3,3,19.6,30.7,0
167,1,1,1,18.7,46.9,1
167,1,2,2,23.2,36.6,1
167,1,3,3,16.4,45.8,0
168,1,1,1,22.6,44.2,1
168,1,2,2,17.6,39.6,0
169,1,1,1,24.2,31.2,0
170,2,1,1,33.0,31.1,1
170,2,2,2,20.9,30.7,1
170,2,3,3,15.7,32.3,1
170,2,4,4,13.9,24.1,0
171,4,1,1,19.4,54.3,1
171,4,2,2,25.6,32.2,1
171,4,3,3,24.5,36.7,1
171,4,4,4,21.1,65.2,0
172,4,1,1,18.0,37.8,0
173,3,1,1,8.8,29.6,1
173,3,2,2,21.7,31.8,1
173,3,3,3,15.8,22.3,0
174,2,1,1,15.6,41.1,1
174,2,2,2,24.5,33.7,0
175,1,1,1,25.7,42.9,1
175,1,2,2,20.7,50.4,1
175,1,3,3,23.4,33.3,0
176,1,1,1,16.0,41.5,1
176,1,2,2,13.9,32.7,0
177,1,1,1,11.6,17.1,1
177,1,2,2,8.3,16.7,1
177,1,3,3,11.7,17.4,1
177,1,4,4,10.4,19.7,0
178,2,1,1,32.6,68.6,1
178,2,2,2,24.8,68.9,1
178,2,3,3,21.1,51.8,1
178,2,4,4,34.6,26.6,1
178,2,5,5,22.6,38.6,0
179,1,1,1,10.0,31.3,1
179,1,2,2,11.6,25.2,1
179,1,3,3,14.2,14.5,1
179,1,4,4,5.3,18.6,0
180,3,1,1,41.7,47.6,1
180,3,2,2,32.6,42.5,0
181,2,1,1,25.1,36.7,0
182,4,1,1,19.6,28.5,1
182,4,2,2,17.1,33.0,0
183,2,1,1,39.3,53.3,1
183,2,2,2,36.9,67.8,1
183,2,3,3,29.6,53.0,1
183,2,4,4,29.7,67.4,1
183,2,5,5,14.4,37.6,0
184,4,1,1,7.1,22.1,1
184,4,2,2,9.0,16.5,1
184,4,3,3,12.2,23.0,1
184,4,4,4,9.5,16.5,1
184,4,5,5,8.8,13.5,1
184,4,6,6,7.5,16.1,0
185,4,1,1,23.8,28.6,1
185,4,2,2,10.9,25.9,0
186,4,1,1,31.4,50.2,1
186,4,2,2,15.2,41.6,1
186,4,3,3,17.2,26.3,0
187,4,1,1,48.5,70.1,1
187,4,2,2,27.2,58.7,1
187,4,3,3,25.8,26.7,0
188,3,1,1,11.7,31.1,1
188,3,2,2,12.8,24.7,1
188,3,3,3,13.7,21.7,1
188,3,4,4,14.7,36.5,0
189,1,1,1,22.3,31.1,0
190,3,1,1,29.9,59.6,1
190,3,2,2,30.0,46.7,1
190,3,3,3,24.9,36.5,1
190,3,4,4,26.5,49.8,1
190,3,5,5,15.0,45.6,1
190,3,6,6,22.0,35.7,0
191,4,1,1,26.7,40.5,1
191,4,2,2,20.2,42.5,1
191,4,3,3,22.6,41.7,0
192,1,1,1,46.0,76.8,1
192,1,2,2,31.2,56.2,1
192,1,3,3,30.3,58.5,1
192,1,4,4,21.7,48.2,1
192,1,5,5,22.7,32.9,0
193,1,1,1,11.2,67.3,1
193,1,2,2,31.4,43.9,1
193,1,3,3,22.6,28.1,1
193,1,4,4,20.1,31.6,1
193,1,5,5,15.0,31.0,0
194,2,1,1,22.5,32.7,1
194,2,2,2,32.7,45.7,0
195,3,1,1,34.4,29.2,1
195,3,2,2,17.8,54.4,1
195,3,3,3,15.4,35.4,1
195,3,4,4,14.3,30.0,0
196,4,1,1,23.0,46.6,1
196,4,2,2,19.3,41.4,1
196,4,3,3,23.4,42.6,0
197,1,1,1,12.9,25.5,1
197,1,2,2,12.9,25.3,0
198,3,1,1,19.6,49.2,1
198,3,2,2,18.6,35.0,1
198,3,3,3,22.2,32.4,1
198,3,4,4,9.4,18.2,0
199,4,1,1,60.0,38.8,0
200,5,1,1,17.8,50.1,1
200,5,2,2,20.2,42.0,1
200,5,3,3,13.4,53.8,1
200,5,4,4,22.5,31.4,1
200,5,5,5,7.6,33.9,1
200,5,6,6,19.0,36.9,0
201,2,1,1,18.9,43.9,1
201,2,2,2,23.5,38.5,0
202,3,1,1,36.6,82.9,1
202,3,2,2,33.6,50.1,1
202,3,3,3,23.4,58.4,1
202,3,4,4,27.3,43.4,1
202,3,5,5,23.2,46.8,1
202,3,6,6,14.5,28.2,1
202,3,7,7,16.5,13.2,0
203,2,1,1,28.8,62.5,1
203,2,2,2,37.2,64.3,1
203,2,3,3,25.2,42.3,0
204,5,1,1,25.6,14.4,1
204,5,2,2,30.2,33.6,1
204,5,3,3,14.7,34.7,0
205,4,1,1,24.6,47.3,1
205,4,2,2,35.6,55.9,1
205,4,3,3,29.2,52.3,0
206,5,1,1,33.5,57.9,1
206,5,2,2,27.6,41.5,1
206,5,3,3,32.6,34.9,0
207,3,1,1,20.5,33.9,1
207,3,2,2,9.6,33.2,0
208,2,1,1,30.0,55.9,1
208,2,2,2,17.1,41.8,1
208,2,3,3,31.3,38.9,1
208,2,4,4,27.6,38.3,0
209,5,1,1,20.6,60.2,0
210,3,1,1,15.9,37.9,1
210,3,2,2,5.0,33.4,1
210,3,3,3,13.8,30.1,1
210,3,4,4,17.6,20.3,1
210,3,5,5,13.6,29.1,0
211,5,1,1,28.5,80.6,1
211,5,2,2,23.8,66.0,1
211,5,3,3,33.2,59.3,1
211,5,4,4,26.3,52.4,1
211,5,5,5,24.6,37.0,0
212,4,1,1,9.0,19.6,1
212,4,2,2,15.6,18.6,1
212,4,3,3,13.5,18.9,0
213,4,1,1,33.6,50.8,1
213,4,2,2,20.3,49.0,1
213,4,3,3,22.2,42.3,1
213,4,4,4,22.6,29.8,1
213,4,5,5,17.2,19.8,0
214,5,1,1,13.5,20.8,1
214,5,2,2,7.1,9.9,0
215,3,1,1,26.8,33.4,1
215,3,2,2,21.5,24.6,0
216,1,1,1,36.7,53.1,1
216,1,2,2,29.6,46.4,1
216,1,3,3,20.5,46.5,0
217,5,1,1,12.6,17.2,0
218,5,1,1,30.8,48.2,1
218,5,2,2,27.2,46.4,0
219,3,1,1,34.3,43.7,0
220,3,1,1,32.6,52.5,1
220,3,2,2,17.6,49.6,1
220,3,3,3,22.2,49.4,1
220,3,4,4,17.5,38.4,0
221,5,1,1,15.6,40.0,1
221,5,2,2,25.9,43.8,1
221,5,3,3,20.3,29.1,1
221,5,4,4,18.9,26.1,1
221,5,5,5,9.6,18.9,0
222,3,1,1,30.3,58.1,1
222,3,2,2,27.7,42.1,1
222,3,3,3,36.6,45.7,1
222,3,4,4,29.1,39.8,0
223,2,1,1,17.4,22.1,1
223,2,2,2,10.5,26.8,1
223,2,3,3,8.9,30.7,1
223,2,4,4,9.3,14.9,1
223,2,5,5,9.5,10.8,1
223,2,6,6,8.0,15.8,0
224,5,1,1,13.7,35.2,1
224,5,2,2,24.1,36.6,1
224,5,3,3,22.6,35.4,1
224,5,4,4,11.6,31.5,0
225,3,1,1,9.8,25.2,0
226,1,1,1,14.6,26.4,0
227,4,1,1,36.1,66.8,1
227,4,2,2,48.8,40.2,0
228,2,1,1,41.1,55.4,1
228,2,2,2,36.4,57.8,1
228,2,3,3,29.0,38.0,1
228,2,4,4,31.1,33.3,1
228,2,5,5,24.4,29.9,1
228,2,6,6,18.2,34.5,0
229,5,1,1,27.7,38.0,0
230,2,1,1,21.5,38.9,0
231,5,1,1,21.1,28.9,0
232,4,1,1,21.8,31.0,1
232,4,2,2,11.1,19.2,1
232,4,3,3,8.0,32.1,1
232,4,4,4,14.8,15.5,0
233,4,1,1,36.7,65.4,1
233,4,2,2,21.7,60.0,1
233,4,3,3,30.1,64.0,1
233,4,4,4,29.3,37.4,0
234,2,1,1,45.9,54.2,1
234,2,2,2,19.6,53.8,1
234,2,3,3,23.9,37.9,1
234,2,4,4,8.6,45.0,1
234,2,5,5,19.0,45.5,1
234,2,6,6,21.6,40.6,0
235,1,1,1,21.9,45.8,1
235,1,2,2,33.4,43.1,0
236,5,1,1,25.3,45.2,0
237,4,1,1,22.1,34.8,1
237,4,2,2,8.7,23.0,0
238,1,1,1,14.8,28.1,0
239,4,1,1,30.9,82.8,1
239,4,2,2,28.0,60.5,1
239,4,3,3,23.5,57.8,1
239,4,4,4,30.1,47.2,0
240,1,1,1,21.0,39.2,0
241,5,1,1,20.4,39.8,0
242,1,1,1,20.5,36.2,0
243,1,1,1,13.4,24.4,0
244,1,1,1,22.0,40.6,1
244,1,2,2,20.9,32.2,0
245,3,1,1,9.1,42.2,1
245,3,2,2,22.6,34.6,1
245,3,3,3,19.4,54.5,1
245,3,4,4,26.7,42.1,1
245,3,5,5,14.2,15.2,0
246,3,1,1,39.2,58.0,1
246,3,2,2,40.7,74.4,1
246,3,3,3,29.0,65.5,0
247,3,1,1,33.1,58.7,1
247,3,2,2,26.9,47.5,0
248,5,1,1,24.8,22.3,0
249,1,1,1,21.5,66.2,1
249,1,2,2,28.6,46.3,1
249,1,3,3,28.6,47.6,1
249,1,4,4,21.0,45.8,1
249,1,5,5,23.9,48.0,1
249,1,6,6,20.2,30.9,1
249,1,7,7,15.1,25.1,1
249,1,8,8,12.5,17.0,1
249,1,9,9,6.1,16.8,0
250,1,1,1,12.5,30.0,0
251,1,1,1,36.0,76.2,1
251,1,2,2,29.2,36.8,0
252,4,1,1,19.5,26.9,1
252,4,2,2,11.4,34.9,0
253,3,1,1,12.1,52.5,1
253,3,2,2,22.3,50.4,1
253,3,3,3,16.3,23.1,1
253,3,4,4,9.6,34.2,0
254,1,1,1,7.0,22.1,1
254,1,2,2,10.1,20.1,1
254,1,3,3,10.6,12.8,1
254,1,4,4,6.5,14.1,1
254,1,5,5,7.0,14.9,0
255,5,1,1,25.8,28.5,1
255,5,2,2,16.7,43.8,1
255,5,3,3,15.0,20.7,0
256,1,1,1,31.2,54.3,1
256,1,2,2,26.2,52.1,1
256,1,3,3,31.3,46.4,1
256,1,4,4,16.6,36.3,0
257,1,1,1,13.9,35.1,1
257,1,2,2,18.5,24.6,1
257,1,3,3,13.3,29.7,0
258,3,1,1,30.8,38.0,0
259,4,1,1,20.9,21.9,0
260,4,1,1,12.0,31.4,1
260,4,2,2,10.3,19.5,0
